#Nombre,Prioridad,direccion,lock,descanso
master_b_0,3,1024,0,16
master_b_1,4,0,1,16
master_nb_0,1,1024,1,16
master_nb_1,2,0,0,16
Tiempo,instruccion,Master,direccion,dato,lock,uso
1995000,WRITE,2,64,32,false,ACTIVE
2005000,READ,1,1092,32,true,ACTIVE
2015000,WRITE,1,1092,34,true,ACTIVE
2025000,READ,2,68,32,false,ACTIVE
2035000,WRITE,2,68,34,false,ACTIVE
2045000,READ,1,1096,34,true,ACTIVE
2055000,WRITE,1,1096,36,true,ACTIVE
2065000,READ,2,72,34,false,ACTIVE
2075000,WRITE,2,72,36,false,ACTIVE
2085000,READ,1,1100,36,true,ACTIVE
2095000,WRITE,1,1100,38,true,ACTIVE
2105000,READ,2,76,36,false,ACTIVE
2115000,WRITE,2,76,38,false,ACTIVE
2125000,READ,1,1104,38,true,ACTIVE
2135000,WRITE,1,1104,40,true,ACTIVE
2145000,READ,2,80,38,false,ACTIVE
2155000,WRITE,2,80,40,false,ACTIVE
2165000,READ,1,1108,40,true,ACTIVE
2175000,WRITE,1,1108,42,true,ACTIVE
2185000,READ,2,84,40,false,ACTIVE
2195000,WRITE,2,84,42,false,ACTIVE
2205000,READ,1,1112,42,true,ACTIVE
2215000,WRITE,1,1112,44,true,ACTIVE
2225000,READ,2,88,42,false,ACTIVE
2235000,WRITE,2,88,44,false,ACTIVE
2245000,READ,1,1116,44,true,ACTIVE
2255000,WRITE,1,1116,46,true,ACTIVE
2265000,READ,2,92,44,false,ACTIVE
2275000,WRITE,2,92,46,false,ACTIVE
2285000,READ,1,1120,46,true,ACTIVE
2295000,WRITE,1,1120,48,true,ACTIVE
2305000,READ,2,96,46,false,ACTIVE
2315000,WRITE,2,96,48,false,ACTIVE
2325000,READ,1,1124,48,true,ACTIVE
2335000,WRITE,1,1124,50,true,ACTIVE
2345000,READ,2,100,48,false,ACTIVE
2355000,WRITE,2,100,50,false,ACTIVE
2365000,READ,1,1128,50,true,ACTIVE
2375000,WRITE,1,1128,52,true,ACTIVE
2385000,READ,2,104,50,false,ACTIVE
2395000,WRITE,2,104,52,false,ACTIVE
2405000,READ,1,1132,52,true,ACTIVE
2415000,WRITE,1,1132,54,true,ACTIVE
2425000,READ,2,108,52,false,ACTIVE
2435000,WRITE,2,108,54,false,ACTIVE
2445000,READ,1,1136,54,true,ACTIVE
2455000,WRITE,1,1136,56,true,ACTIVE
2465000,READ,2,112,54,false,ACTIVE
2475000,WRITE,2,112,56,false,ACTIVE
2485000,READ,1,1140,56,true,ACTIVE
2495000,WRITE,1,1140,58,true,ACTIVE
2505000,READ,2,116,56,false,ACTIVE
2515000,WRITE,2,116,58,false,ACTIVE
2525000,READ,1,1144,58,true,ACTIVE
2535000,WRITE,1,1144,60,true,ACTIVE
2545000,READ,2,120,58,false,ACTIVE
2555000,WRITE,2,120,60,false,ACTIVE
2565000,READ,1,1148,60,true,ACTIVE
2575000,WRITE,1,1148,62,true,ACTIVE
2585000,READ,2,124,60,false,ACTIVE
2595000,WRITE,2,124,62,false,ACTIVE
2605000,READ,1,1152,62,true,ACTIVE
2615000,WRITE,1,1152,64,true,ACTIVE
2625000,READ,2,128,62,false,ACTIVE
2635000,WRITE,2,128,64,false,ACTIVE
2645000,READ,1,1024,64,true,ACTIVE
2655000,WRITE,1,1024,0,true,ACTIVE
2665000,READ,2,0,64,false,ACTIVE
2675000,WRITE,2,0,0,false,ACTIVE
2685000,READ,1,1028,0,true,ACTIVE
2695000,WRITE,1,1028,3,true,ACTIVE
2705000,READ,2,4,0,false,ACTIVE
2715000,WRITE,2,4,3,false,ACTIVE
2725000,READ,1,1032,3,true,ACTIVE
2735000,WRITE,1,1032,6,true,ACTIVE
2745000,READ,2,8,3,false,ACTIVE
2755000,WRITE,2,8,6,false,ACTIVE
2765000,READ,1,1036,6,true,ACTIVE
2775000,WRITE,1,1036,9,true,ACTIVE
2785000,READ,2,12,6,false,ACTIVE
2795000,WRITE,2,12,9,false,ACTIVE
2805000,READ,1,1040,9,true,ACTIVE
2815000,WRITE,1,1040,12,true,ACTIVE
2825000,READ,2,16,9,false,ACTIVE
2835000,WRITE,2,16,12,false,ACTIVE
2845000,READ,1,1044,12,true,ACTIVE
2855000,WRITE,1,1044,15,true,ACTIVE
2865000,READ,2,20,12,false,ACTIVE
2875000,WRITE,2,20,15,false,ACTIVE
2885000,READ,1,1048,15,true,ACTIVE
2895000,WRITE,1,1048,18,true,ACTIVE
2905000,READ,2,24,15,false,ACTIVE
2915000,WRITE,2,24,18,false,ACTIVE
2925000,READ,1,1052,18,true,ACTIVE
2935000,WRITE,1,1052,21,true,ACTIVE
2945000,READ,2,28,18,false,ACTIVE
2955000,WRITE,2,28,21,false,ACTIVE
